ticket_id,date_submitted,channel,platform,ticket_text,category,true_category,priority,customer_sentiment,escalate_flag,true_escalate,suggested_reply
TKT-10129,2024-10-22,app store review,Fire TV,I can't update my billing address. The form throws an error when I save.,,account_management,medium,negative,,false,
TKT-10107,2025-01-08,email,Web,Video playback stutters every 30 seconds on WiFi but works fine on mobile data.,,technical_bug,low,negative,,false,
TKT-10006,2024-09-15,twitter,Android,My free trial ended but I was charged before I could cancel. This is unfair.,,billing_refund,high,negative,,false,
TKT-10083,2024-12-04,app store review,Smart TV,Content I bookmarked has a broken thumbnail and won't play.,,content_access,urgent,very negative,,true,
TKT-10146,2025-01-28,email,Fire TV,My downloaded episodes disappeared after the latest app update. I had 12 episodes saved.,,content_access,urgent,very negative,,true,
TKT-10070,2024-09-26,twitter,Roku,I can't access any content from my TV. The app just shows a loading spinner forever.,,content_access,high,negative,,false,
TKT-10154,2024-12-11,email,Android,Dark mode setting resets to light mode every time I reopen the app.,,technical_bug,medium,very negative,,false,
TKT-10087,2024-10-31,twitter,iOS,Can I pause my subscription for 2 months while I travel? How do I do this?,,account_management,high,negative,,false,
TKT-10132,2024-09-19,web form,Smart TV,I was incorrectly suspended. I have not violated any terms of service.,,account_management,medium,very negative,,false,
TKT-10015,2025-01-26,web form,Android,My free trial ended but I was charged before I could cancel. This is unfair.,,billing_refund,high,negative,,false,
TKT-10066,2025-02-13,email,Smart TV,The family plan was supposed to cover 5 members but I got charged per-user fees.,,billing_refund,high,very negative,,false,
TKT-10071,2025-02-07,twitter,Web,Can I switch from monthly to annual billing and get credit for the days left this month?,,subscription_plan,low,negative,,false,
TKT-10113,2024-12-24,twitter,Roku,My account was hacked and purchases were made without my consent. Need all charges reversed.,,billing_refund,high,negative,,true,
TKT-10103,2024-11-29,in-app chat,Roku,Two-factor authentication code is never delivered to my phone number.,,technical_bug,medium,neutral,,false,
TKT-10059,2025-01-18,email,Smart TV,I can't find The Hollow in search. It was there last week. Has it been removed?,,content_access,urgent,very negative,,true,
TKT-10163,2024-11-28,app store review,iOS,App is using 8GB of storage on my Amazon Fire TV for a 2GB cache limit. Something is wrong.,,technical_bug,urgent,negative,,true,
TKT-10144,2024-11-21,web form,Web,Episode 8 of Dragon Patrol is missing from my library even though I'm on the Premium plan.,,content_access,urgent,very negative,,true,
TKT-10069,2024-09-12,app store review,Android,I can't access any content from my TV. The app just shows a loading spinner forever.,,content_access,urgent,negative,,true,
TKT-10142,2024-09-19,twitter,Roku,Subtitles for The Lost Signal in Spanish are completely wrong — they look machine-translated.,,content_access,high,negative,,false,
TKT-10143,2025-01-09,web form,Android,The 'Continue Watching' row shows content I've never seen and hides what I actually watch.,,content_access,medium,very negative,,false,
TKT-10005,2025-02-19,in-app chat,Web,I was billed for a PPV event I never watched. The stream was broken. I want a refund.,,billing_refund,high,negative,,false,
TKT-10038,2025-01-12,twitter,Android,"I get a 'Network error 503' whenever I try to watch anything, but my internet is fine.",,technical_bug,low,negative,,false,
TKT-10029,2024-09-07,in-app chat,Android,Someone changed my account password. I need help recovering access immediately.,,account_management,urgent,negative,,true,
TKT-10098,2024-10-26,twitter,Smart TV,Does the family plan work across different countries? We have members in 3 countries.,,subscription_plan,high,negative,,false,
TKT-10004,2025-02-28,in-app chat,Roku,I cancelled my plan on 2024-09-21 but still got billed. I want a refund.,,billing_refund,medium,negative,,false,
TKT-10073,2024-11-23,email,iOS,My username was changed without my knowledge. This looks like unauthorized access.,,account_management,high,negative,,true,
TKT-10011,2025-01-04,twitter,Roku,Is there a plan that allows offline downloads on more than 2 devices?,,subscription_plan,medium,neutral,,false,
TKT-10165,2024-12-28,twitter,iOS,I share a family plan with my spouse but she can't see the content I purchased.,,content_access,high,very negative,,false,
TKT-10187,2024-12-02,app store review,Web,Please delete my account and all personal data under GDPR/CCPA.,,account_management,high,negative,,true,
TKT-10057,2024-10-24,email,Roku,Someone changed my account password. I need help recovering access immediately.,,account_management,medium,negative,,false,
TKT-10191,2025-02-06,twitter,Smart TV,I was billed for a PPV event I never watched. The stream was broken. I want a refund.,,billing_refund,high,very negative,,false,
TKT-10054,2025-02-11,in-app chat,Web,Your pricing page shows two different prices. Which one is correct?,,subscription_plan,low,positive,,false,
TKT-10121,2024-10-05,twitter,Roku,The app shows me content recommendations in a different language despite my settings.,,technical_bug,medium,negative,,false,
TKT-10088,2025-01-30,web form,Web,The app crashes every time I try to open it on my iPhone 15. Been happening since the update.,,technical_bug,low,very negative,,false,
TKT-10182,2024-10-29,email,Roku,I can't access any content from my TV. The app just shows a loading spinner forever.,,content_access,urgent,very negative,,true,
TKT-10064,2024-12-28,web form,Fire TV,The app shows me content recommendations in a different language despite my settings.,,technical_bug,low,negative,,false,
TKT-10174,2024-11-18,twitter,Fire TV,I'm on the Premium plan — does it include the PPV events or are those separate?,,subscription_plan,medium,positive,,false,
TKT-10065,2024-10-02,app store review,Fire TV,Live event for Shadow Realm started 20 minutes late and then cut out entirely at the halfway mark.,,content_access,medium,negative,,false,
TKT-10184,2025-02-24,in-app chat,Fire TV,The app shows me content recommendations in a different language despite my settings.,,technical_bug,high,very negative,,false,
TKT-10050,2024-09-22,in-app chat,Roku,Does the family plan work across different countries? We have members in 3 countries.,,subscription_plan,medium,neutral,,false,
TKT-10105,2024-11-30,email,Roku,I've been trying to verify my email for 3 days. The link in the email says 'expired'.,,account_management,urgent,negative,,true,
TKT-10025,2024-11-10,app store review,iOS,I switched cards mid-cycle and got charged on both. Need the old charge reversed.,,billing_refund,high,very negative,,false,
TKT-10018,2024-10-13,email,Smart TV,I was incorrectly suspended. I have not violated any terms of service.,,account_management,medium,negative,,false,
TKT-10063,2024-11-13,app store review,Fire TV,The episode progress bar is broken — it always shows 0% even mid-episode.,,technical_bug,high,very negative,,false,
TKT-10185,2024-09-08,twitter,Smart TV,How do I download my viewing history and account data?,,account_management,medium,neutral,,false,
TKT-10122,2024-10-22,twitter,iOS,My bank flagged your charge as suspicious and now my card is blocked. Please help.,,billing_refund,high,negative,,false,
TKT-10046,2024-10-01,web form,Fire TV,Do you offer a military/veteran discount?,,subscription_plan,low,neutral,,false,
TKT-10195,2025-01-18,app store review,Fire TV,I upgraded to the Annual plan but my card was charged the monthly rate. Please correct.,,billing_refund,medium,negative,,false,
TKT-10007,2024-10-07,app store review,Fire TV,I cancelled my plan on 2025-01-24 but still got billed. I want a refund.,,billing_refund,urgent,negative,,true,
TKT-10080,2024-10-28,in-app chat,iOS,My bank flagged your charge as suspicious and now my card is blocked. Please help.,,billing_refund,high,negative,,false,
TKT-10192,2024-11-21,app store review,Android,The 4K stream for Mango Tales is not available even though I'm on the Ultra HD plan.,,content_access,medium,negative,,false,
TKT-10161,2024-11-23,in-app chat,Android,Two-factor authentication code is never delivered to my phone number.,,technical_bug,urgent,neutral,,true,
TKT-10137,2024-12-16,app store review,Android,My bank flagged your charge as suspicious and now my card is blocked. Please help.,,billing_refund,high,very negative,,false,
TKT-10140,2024-12-27,web form,Smart TV,Subtitles are hard to read on light backgrounds. Please add a background option.,,general_feedback,low,neutral,,false,
TKT-10074,2025-02-04,email,Android,My username was changed without my knowledge. This looks like unauthorized access.,,account_management,high,negative,,true,
TKT-10196,2024-09-12,web form,Fire TV,I requested a refund 10 days ago via chat and never heard back. Ticket #96193.,,billing_refund,urgent,very negative,,true,
TKT-10043,2024-12-30,email,Web,Does the family plan work across different countries? We have members in 3 countries.,,subscription_plan,medium,negative,,false,
TKT-10156,2024-11-15,twitter,iOS,I purchased Shadow Realm Season 2 but only Season 1 shows up in My Library.,,content_access,medium,very negative,,false,
TKT-10125,2024-10-13,app store review,Roku,The family plan was supposed to cover 5 members but I got charged per-user fees.,,billing_refund,high,negative,,false,
TKT-10176,2025-02-15,web form,Smart TV,I need an invoice/receipt for my last 3 payments for expense reimbursement.,,billing_refund,medium,very negative,,false,
TKT-10109,2024-10-09,web form,Fire TV,Video playback stutters every 30 seconds on WiFi but works fine on mobile data.,,technical_bug,high,negative,,false,
TKT-10099,2025-02-01,app store review,Android,I've been locked out after too many login attempts. My account is not compromised.,,account_management,urgent,negative,,true,
TKT-10036,2025-02-15,in-app chat,Android,I was billed for a PPV event I never watched. The stream was broken. I want a refund.,,billing_refund,urgent,negative,,true,
TKT-10108,2024-11-26,app store review,Smart TV,Video playback stutters every 30 seconds on WiFi but works fine on mobile data.,,technical_bug,high,negative,,false,
TKT-10167,2024-12-12,email,Fire TV,I can't reset my password. The reset email never arrives even in spam.,,account_management,high,negative,,false,
TKT-10131,2024-12-29,twitter,Roku,I want to cancel my subscription but can't find the cancellation option anywhere.,,account_management,urgent,neutral,,true,
TKT-10037,2025-01-22,web form,Smart TV,I've been locked out after too many login attempts. My account is not compromised.,,account_management,medium,negative,,true,
TKT-10096,2025-02-10,in-app chat,iOS,I transferred to a new phone and can't log in — it says 'too many devices'.,,account_management,medium,very negative,,false,
TKT-10047,2024-09-28,app store review,Smart TV,I've been trying to verify my email for 3 days. The link in the email says 'expired'.,,account_management,urgent,negative,,true,
TKT-10160,2024-09-21,web form,Fire TV,Can you add a sleep timer? Would love it for bedtime watching.,,general_feedback,low,positive,,false,
TKT-10079,2024-10-15,app store review,Fire TV,I cancelled my plan on 2024-12-03 but still got billed. I want a refund.,,billing_refund,high,negative,,false,
TKT-10062,2024-12-21,web form,Android,I need an invoice/receipt for my last 3 payments for expense reimbursement.,,billing_refund,urgent,very negative,,true,
TKT-10031,2024-11-05,in-app chat,Roku,The promo code SAVE30 was applied but I was charged full price anyway.,,billing_refund,high,negative,,false,
TKT-10166,2025-02-05,app store review,iOS,App is using 8GB of storage on my Roku Stick for a 2GB cache limit. Something is wrong.,,technical_bug,medium,negative,,false,
TKT-10035,2024-10-08,in-app chat,Android,The Wobble World finale is locked behind a paywall even though my plan says 'all content included'.,,content_access,high,negative,,false,
TKT-10022,2024-09-03,email,Web,Two-factor authentication code is never delivered to my phone number.,,technical_bug,high,very negative,,false,
TKT-10188,2025-01-20,twitter,iOS,I've been locked out after too many login attempts. My account is not compromised.,,account_management,high,negative,,true,
TKT-10077,2025-02-23,web form,iOS,I want to downgrade from Annual to Monthly but can't find where to do it.,,subscription_plan,medium,neutral,,false,
TKT-10045,2024-09-07,web form,iOS,My downloaded episodes disappeared after the latest app update. I had 12 episodes saved.,,content_access,high,negative,,false,
TKT-10172,2024-10-19,email,iOS,I can see Mango Tales listed but when I click it says 'Not available in your region'.,,content_access,urgent,neutral,,true,
TKT-10091,2024-10-29,app store review,Smart TV,Wish you had more horror content. Competitors have way more selection.,,general_feedback,medium,positive,,false,
TKT-10090,2024-12-07,twitter,Fire TV,Age verification is failing even though I uploaded my ID. What's the issue?,,account_management,medium,neutral,,false,
TKT-10171,2024-10-23,twitter,Android,Your pricing page shows two different prices. Which one is correct?,,subscription_plan,low,negative,,false,
TKT-10151,2025-01-01,twitter,Fire TV,My bank flagged your charge as suspicious and now my card is blocked. Please help.,,billing_refund,urgent,negative,,true,
TKT-10101,2025-01-25,app store review,Roku,How do I download my viewing history and account data?,,account_management,high,very negative,,false,
TKT-10157,2024-11-22,app store review,Android,Watchlist reorders itself randomly. My carefully curated list is a mess now.,,technical_bug,medium,negative,,false,
TKT-10186,2024-11-03,twitter,Roku,"I get a 'Network error 503' whenever I try to watch anything, but my internet is fine.",,technical_bug,high,negative,,false,
TKT-10153,2025-01-01,app store review,Fire TV,Video playback stutters every 30 seconds on WiFi but works fine on mobile data.,,technical_bug,medium,very negative,,false,
TKT-10081,2025-01-28,twitter,Web,I'm on the Premium plan — does it include the PPV events or are those separate?,,subscription_plan,low,negative,,false,
TKT-10197,2024-10-27,web form,Roku,The app shows me content recommendations in a different language despite my settings.,,technical_bug,low,neutral,,false,
TKT-10136,2025-02-11,web form,Smart TV,Audio cuts out completely after about 45 minutes of continuous playback.,,technical_bug,medium,neutral,,false,
TKT-10126,2024-09-08,in-app chat,Roku,The parental controls PIN I set is no longer working.,,account_management,urgent,very negative,,true,
TKT-10068,2024-10-09,app store review,Fire TV,Push notifications stopped working after I updated to version 5.3.0.,,technical_bug,urgent,neutral,,true,
TKT-10030,2024-11-06,email,iOS,The app shows me content recommendations in a different language despite my settings.,,technical_bug,low,very negative,,false,
TKT-10118,2024-10-31,twitter,iOS,I bought the bundle deal but half the shows in the bundle are missing.,,content_access,urgent,negative,,true,
TKT-10190,2024-12-02,email,Smart TV,I purchased The Hollow Season 2 but only Season 1 shows up in My Library.,,content_access,medium,negative,,false,
TKT-10084,2024-10-26,twitter,Fire TV,App is using 8GB of storage on my iPad Pro for a 2GB cache limit. Something is wrong.,,technical_bug,high,negative,,false,
TKT-10094,2024-10-28,app store review,Fire TV,The volume normalization is really inconsistent between episodes.,,general_feedback,low,neutral,,false,
TKT-10198,2024-11-29,in-app chat,iOS,Early access to Mango Tales Season 3 was supposed to start today but I can't see it.,,content_access,medium,very negative,,false,
TKT-10138,2024-09-28,web form,Roku,Live event for Battle Bots Jr. started 20 minutes late and then cut out entirely at the halfway mark.,,content_access,high,negative,,false,
TKT-10027,2024-10-24,twitter,iOS,The grandfathered pricing I was on seems to have disappeared from my account.,,subscription_plan,medium,negative,,false,
TKT-10148,2024-11-20,app store review,Roku,My payment keeps failing but you still managed to charge my card twice. Please look into this.,,billing_refund,urgent,negative,,true,
TKT-10017,2024-12-23,email,Android,The 4K stream for Neon Knights is not available even though I'm on the Ultra HD plan.,,content_access,medium,negative,,false,
TKT-10072,2025-02-09,in-app chat,iOS,Please delete my account and all personal data under GDPR/CCPA.,,account_management,high,neutral,,true,
TKT-10053,2024-09-26,twitter,Roku,I want to transfer my purchase history to a new email address.,,account_management,medium,neutral,,false,
TKT-10055,2024-09-30,app store review,Web,Can I switch from monthly to annual billing and get credit for the days left this month?,,subscription_plan,low,neutral,,false,
TKT-10181,2024-12-07,app store review,iOS,My account was hacked and purchases were made without my consent. Need all charges reversed.,,billing_refund,high,very negative,,true,
TKT-10002,2024-09-02,twitter,Roku,I was billed for a PPV event I never watched. The stream was broken. I want a refund.,,billing_refund,high,negative,,false,
TKT-10100,2025-01-15,app store review,Android,My payment keeps failing but you still managed to charge my card twice. Please look into this.,,billing_refund,urgent,very negative,,true,
TKT-10110,2024-12-06,web form,Web,Wobble World is showing as 'Expiring Soon' but the description says it's a permanent purchase.,,content_access,urgent,very negative,,true,
TKT-10152,2024-10-28,web form,Fire TV,My bank flagged your charge as suspicious and now my card is blocked. Please help.,,billing_refund,high,very negative,,false,
TKT-10116,2024-12-05,web form,Smart TV,I transferred to a new phone and can't log in — it says 'too many devices'.,,account_management,urgent,negative,,true,
TKT-10051,2024-11-18,in-app chat,Smart TV,You charged me after I deleted the app. How is that even possible?,,billing_refund,high,very negative,,false,
TKT-10158,2025-02-25,twitter,Fire TV,Please bring back the old home screen layout. The new one is harder to navigate.,,general_feedback,low,positive,,false,
TKT-10189,2025-02-23,in-app chat,Roku,The family plan was supposed to cover 5 members but I got charged per-user fees.,,billing_refund,high,negative,,false,
TKT-10008,2025-01-05,web form,Android,I was billed for a PPV event I never watched. The stream was broken. I want a refund.,,billing_refund,urgent,very negative,,true,
TKT-10102,2024-12-21,in-app chat,iOS,Content I bookmarked has a broken thumbnail and won't play.,,content_access,high,negative,,false,
TKT-10111,2024-10-25,in-app chat,Web,The player controls disappear and won't come back — I can't pause or seek.,,technical_bug,medium,very negative,,false,
TKT-10169,2024-09-13,app store review,Roku,I purchased Wobble World Season 2 but only Season 1 shows up in My Library.,,content_access,high,negative,,false,
TKT-10164,2024-12-06,app store review,Smart TV,I was incorrectly suspended. I have not violated any terms of service.,,account_management,urgent,very negative,,true,
TKT-10199,2024-09-30,email,Web,The 'Continue Watching' row shows content I've never seen and hides what I actually watch.,,content_access,medium,very negative,,false,
TKT-10048,2024-12-29,app store review,Roku,I bought a gift card and applied it but premium content is still locked for me.,,content_access,medium,neutral,,false,
TKT-10162,2024-12-26,app store review,Roku,Can I switch from monthly to annual billing and get credit for the days left this month?,,subscription_plan,medium,neutral,,false,
